date,start_time,end_time,word,win/lose,rows_completed,letters_guessed
2022/01/11,17:03:30,17:03:48,BREECH,W,3,BREEASZECH
2022/01/11,18:42:22,18:42:40,NOOKIE,W,1,NOOKIE
2022/01/11,18:44:25,18:44:35,HUNGER,W,1,HUNGER
2022/01/11,18:45:22,18:45:43,CHERRY,L,6,DFSASREASERGASEDSFASDASF
2022/01/11,18:49:47,18:50:05,PREFIX,W,2,QWERTTSPRFIX
2022/01/11,18:53:04,18:53:18,FINISH,W,1,FIBNISH
2022/01/11,18:53:40,18:53:50,MINCES,W,1,MINCES
2022/01/11,18:54:38,18:54:45,PORTER,W,1,PORTER
2022/01/11,18:56:14,18:56:25,PROWLS,W,1,PROWLS
2022/01/11,18:56:50,18:57:13,OUTLAW,L,6,QWERTWWERTWWERTWASDFEASDSDSSSDFSA
2022/01/11,18:57:48,18:58:35,SEQUIN,L,6,ASSSASASDSDASDEADSSADADSDSDFGASDFGASDFSDFAES
2022/01/11,18:59:37,19:04:36,RETAIN,W,6,THRIVEAAAAARRIVEGRAVESATTIREARARERTTYREAIN
